pathwayID,entityToCount
R-HSA-140875,reactome:PhysicalEntity918
R-HSA-140875,reactome:Complex4197
R-HSA-140875,reactome:Protein11709
R-HSA-140875,reactome:Protein11708
R-HSA-140875,reactome:Complex4173
R-HSA-140875,reactome:SmallMolecule922
R-HSA-140875,reactome:Protein11679
R-HSA-140875,reactome:Protein11678
R-HSA-140875,
R-HSA-140875,reactome:Complex3572
R-HSA-140875,reactome:Protein10572
R-HSA-140875,reactome:Protein10571
R-HSA-140875,reactome:SmallMolecule110
R-HSA-140875,reactome:Complex4166
R-HSA-140875,reactome:Protein11671
R-HSA-140875,reactome:Protein11670
R-HSA-140875,reactome:Protein11704
R-HSA-140875,reactome:Protein11703
R-HSA-140875,reactome:Complex4142
R-HSA-140875,reactome:Protein11637
R-HSA-140875,reactome:Protein11639
R-HSA-140875,reactome:PhysicalEntity916
R-HSA-140875,reactome:Protein11652
R-HSA-140875,reactome:Protein11651
R-HSA-140875,reactome:Complex4199
R-HSA-140875,reactome:Protein11674
R-HSA-140875,reactome:Protein11712
R-HSA-140875,reactome:Protein11711
R-HSA-140875,reactome:Complex4168
R-HSA-140875,reactome:Protein11673
R-HSA-140875,reactome:Protein11710
R-HSA-140875,reactome:Protein11527
R-HSA-140875,reactome:Complex4171
R-HSA-140875,reactome:Complex4170
R-HSA-140875,reactome:Complex4174
R-HSA-140875,reactome:Protein11680
R-HSA-140875,reactome:SmallMolecule3821
R-HSA-140875,reactome:Complex4164
R-HSA-140875,reactome:Complex4167
R-HSA-140875,reactome:Complex4165
R-HSA-140875,reactome:Complex2647
R-HSA-140875,reactome:Protein7205
R-HSA-140875,reactome:Protein7206
R-HSA-140875,reactome:Protein7207
R-HSA-140875,reactome:Protein11685
R-HSA-140875,reactome:Protein11686
R-HSA-140875,reactome:Protein11684
R-HSA-140875,reactome:Protein11723
R-HSA-140875,reactome:Protein11722
R-HSA-140875,reactome:Protein11717
R-HSA-140875,reactome:Protein11669
R-HSA-140875,reactome:Complex4188
R-HSA-140875,reactome:Complex4148
